Request id,Pickup point,Driver id,Status,request_time,drop_time,response_time,request_date,request_time_hhmm,drop_date,drop_time_hhmm
5270,City,6,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43,51,2016-07-14,21:33,2016-07-14,22:25
6758,Airport,6,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39,64,2016-07-15,00:03,2016-07-15,01:07
5741,City,6,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55,46,2016-07-15,07:52,2016-07-15,08:38
6087,Airport,6,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53,65,2016-07-15,14:28,2016-07-15,15:33
1039,City,7,Trip Completed,2016-11-07 19:31:00,2016-11-07 20:41:00,70,2016-11-07,19:31,2016-11-07,20:41
1273,Airport,7,Trip Completed,2016-11-07 22:07:00,2016-11-07 23:12:00,65,2016-11-07,22:07,2016-11-07,23:12
2480,City,7,Trip Completed,2016-12-07 20:39:00,2016-12-07 21:28:00,49,2016-12-07,20:39,2016-12-07,21:28
4105,City,7,Trip Completed,2016-07-14 03:39:38,2016-07-14 04:39:04,59,2016-07-14,03:39,2016-07-14,04:39
4509,City,7,Trip Completed,2016-07-14 09:11:13,2016-07-14 10:17:01,65,2016-07-14,09:11,2016-07-14,10:17
4986,Airport,7,Trip Completed,2016-07-14 18:52:32,2016-07-14 19:50:57,58,2016-07-14,18:52,2016-07-14,19:50
5898,City,7,Trip Completed,2016-07-15 09:50:28,2016-07-15 10:40:39,50,2016-07-15,09:50,2016-07-15,10:40
6142,Airport,7,Trip Completed,2016-07-15 15:50:15,2016-07-15 16:36:56,46,2016-07-15,15:50,2016-07-15,16:36
380,Airport,8,Trip Completed,2016-11-07 08:18:00,2016-11-07 09:18:00,60,2016-11-07,08:18,2016-11-07,09:18
1050,Airport,8,Trip Completed,2016-11-07 19:39:00,2016-11-07 20:30:00,51,2016-11-07,19:39,2016-11-07,20:30
1769,City,8,Trip Completed,2016-12-07 08:57:00,2016-12-07 09:24:00,27,2016-12-07,08:57,2016-12-07,09:24
2520,City,8,Trip Completed,2016-12-07 21:05:00,2016-12-07 22:20:00,75,2016-12-07,21:05,2016-12-07,22:20
3265,Airport,8,Trip Completed,2016-07-13 10:22:07,2016-07-13 11:07:02,44,2016-07-13,10:22,2016-07-13,11:07
4648,City,8,Trip Completed,2016-07-14 11:55:10,2016-07-14 12:59:34,64,2016-07-14,11:55,2016-07-14,12:59
449,Airport,9,Trip Completed,2016-11-07 09:08:00,2016-11-07 09:52:00,44,2016-11-07,09:08,2016-11-07,09:52
846,Airport,9,Trip Completed,2016-11-07 17:46:00,2016-11-07 18:52:00,66,2016-11-07,17:46,2016-11-07,18:52
1346,Airport,9,Trip Completed,2016-11-07 23:39:00,2016-11-08 00:23:00,44,2016-11-07,23:39,2016-11-08,00:23
1474,Airport,9,Trip Completed,2016-12-07 05:13:00,2016-12-07 05:56:00,43,2016-12-07,05:13,2016-12-07,05:56
2240,City,9,Trip Completed,2016-12-07 18:20:00,2016-12-07 18:54:00,34,2016-12-07,18:20,2016-12-07,18:54
3072,Airport,9,Trip Completed,2016-07-13 08:04:57,2016-07-13 08:36:37,31,2016-07-13,08:04,2016-07-13,08:36
3459,Airport,9,Trip Completed,2016-07-13 17:03:30,2016-07-13 17:31:49,28,2016-07-13,17:03,2016-07-13,17:31
3774,Airport,9,Trip Completed,2016-07-13 20:41:24,2016-07-13 21:27:29,46,2016-07-13,20:41,2016-07-13,21:27
4023,City,9,Trip Completed,2016-07-13 23:58:41,2016-07-14 00:58:39,59,2016-07-13,23:58,2016-07-14,00:58
4117,City,9,Trip Completed,2016-07-14 04:21:42,2016-07-14 05:07:07,45,2016-07-14,04:21,2016-07-14,05:07
4880,Airport,9,Trip Completed,2016-07-14 17:58:46,2016-07-14 19:02:42,63,2016-07-14,17:58,2016-07-14,19:02
5568,Airport,9,Trip Completed,2016-07-15 05:47:49,2016-07-15 06:25:49,38,2016-07-15,05:47,2016-07-15,06:25
5994,Airport,9,Trip Completed,2016-07-15 11:51:16,2016-07-15 12:32:12,40,2016-07-15,11:51,2016-07-15,12:32
1809,Airport,10,Trip Completed,2016-12-07 09:13:00,2016-12-07 10:01:00,48,2016-12-07,09:13,2016-12-07,10:01
2064,Airport,10,Trip Completed,2016-12-07 15:08:00,2016-12-07 16:14:00,66,2016-12-07,15:08,2016-12-07,16:14
3210,City,10,Trip Completed,2016-07-13 09:47:06,2016-07-13 10:52:37,65,2016-07-13,09:47,2016-07-13,10:52
4350,City,10,Trip Completed,2016-07-14 07:24:43,2016-07-14 08:22:09,57,2016-07-14,07:24,2016-07-14,08:22
4713,City,10,Trip Completed,2016-07-14 13:31:24,2016-07-14 14:10:56,39,2016-07-14,13:31,2016-07-14,14:10
5629,Airport,10,Trip Completed,2016-07-15 06:33:00,2016-07-15 07:19:53,46,2016-07-15,06:33,2016-07-15,07:19
6157,Airport,10,Trip Completed,2016-07-15 16:32:51,2016-07-15 17:44:44,71,2016-07-15,16:32,2016-07-15,17:44
2030,City,11,Trip Completed,2016-12-07 14:11:00,2016-12-07 15:02:00,51,2016-12-07,14:11,2016-12-07,15:02
3226,City,11,Trip Completed,2016-07-13 10:00:17,2016-07-13 11:02:52,62,2016-07-13,10:00,2016-07-13,11:02
3353,City,11,Trip Completed,2016-07-13 13:29:44,2016-07-13 14:09:00,39,2016-07-13,13:29,2016-07-13,14:09
4293,City,11,Trip Completed,2016-07-14 06:42:36,2016-07-14 07:12:41,30,2016-07-14,06:42,2016-07-14,07:12
4936,City,11,Trip Completed,2016-07-14 18:22:17,2016-07-14 19:14:36,52,2016-07-14,18:22,2016-07-14,19:14
5661,Airport,11,Trip Completed,2016-07-15 07:08:50,2016-07-15 07:59:00,50,2016-07-15,07:08,2016-07-15,07:59
5778,City,11,Trip Completed,2016-07-15 08:22:03,2016-07-15 09:13:04,51,2016-07-15,08:22,2016-07-15,09:13
6425,Airport,11,Trip Completed,2016-07-15 19:46:40,2016-07-15 20:26:51,40,2016-07-15,19:46,2016-07-15,20:26
45,Airport,12,Trip Completed,2016-11-07 03:17:00,2016-11-07 04:09:00,52,2016-11-07,03:17,2016-11-07,04:09
264,City,12,Trip Completed,2016-11-07 06:51:00,2016-11-07 07:40:00,49,2016-11-07,06:51,2016-11-07,07:40
1183,City,12,Trip Completed,2016-11-07 21:05:00,2016-11-07 21:38:00,33,2016-11-07,21:05,2016-11-07,21:38
1536,Airport,12,Trip Completed,2016-12-07 05:59:00,2016-12-07 06:59:00,60,2016-12-07,05:59,2016-12-07,06:59
2437,City,12,Trip Completed,2016-12-07 20:18:00,2016-12-07 21:26:00,68,2016-12-07,20:18,2016-12-07,21:26
2641,Airport,12,Trip Completed,2016-12-07 22:28:00,2016-12-07 23:05:00,37,2016-12-07,22:28,2016-12-07,23:05
4077,Airport,12,Trip Completed,2016-07-14 02:14:15,2016-07-14 03:13:09,58,2016-07-14,02:14,2016-07-14,03:13
4610,City,12,Trip Completed,2016-07-14 10:35:14,2016-07-14 11:39:01,63,2016-07-14,10:35,2016-07-14,11:39
5066,Airport,12,Trip Completed,2016-07-14 19:31:20,2016-07-14 20:14:03,42,2016-07-14,19:31,2016-07-14,20:14
5666,Airport,12,Trip Completed,2016-07-15 07:04:55,2016-07-15 08:12:37,67,2016-07-15,07:04,2016-07-15,08:12
5923,City,12,Trip Completed,2016-07-15 10:07:49,2016-07-15 10:50:50,43,2016-07-15,10:07,2016-07-15,10:50
6367,City,12,Trip Completed,2016-07-15 19:04:46,2016-07-15 19:46:04,41,2016-07-15,19:04,2016-07-15,19:46
155,City,13,Trip Completed,2016-11-07 05:32:00,2016-11-07 06:28:00,56,2016-11-07,05:32,2016-11-07,06:28
310,Airport,13,Trip Completed,2016-11-07 07:24:00,2016-11-07 08:28:00,64,2016-11-07,07:24,2016-11-07,08:28
607,City,13,Trip Completed,2016-11-07 11:51:00,2016-11-07 12:42:00,51,2016-11-07,11:51,2016-11-07,12:42
1012,City,13,Trip Completed,2016-11-07 19:15:00,2016-11-07 19:57:00,42,2016-11-07,19:15,2016-11-07,19:57
1696,Airport,13,Trip Completed,2016-12-07 08:01:00,2016-12-07 08:42:00,41,2016-12-07,08:01,2016-12-07,08:42
3076,City,13,Trip Completed,2016-07-13 08:09:04,2016-07-13 09:12:19,63,2016-07-13,08:09,2016-07-13,09:12
4198,Airport,13,Trip Completed,2016-07-14 05:32:14,2016-07-14 06:45:32,73,2016-07-14,05:32,2016-07-14,06:45
4627,City,13,Trip Completed,2016-07-14 11:13:19,2016-07-14 12:00:12,46,2016-07-14,11:13,2016-07-14,12:00
5289,City,13,Trip Completed,2016-07-14 21:43:24,2016-07-14 22:24:13,40,2016-07-14,21:43,2016-07-14,22:24
5495,Airport,13,Trip Completed,2016-07-15 05:00:13,2016-07-15 06:02:27,62,2016-07-15,05:00,2016-07-15,06:02
6656,Airport,13,Trip Completed,2016-07-15 22:08:42,2016-07-15 22:41:18,32,2016-07-15,22:08,2016-07-15,22:41
139,Airport,14,Trip Completed,2016-11-07 05:21:00,2016-11-07 06:09:00,48,2016-11-07,05:21,2016-11-07,06:09
215,City,14,Trip Completed,2016-11-07 06:15:00,2016-11-07 07:07:00,52,2016-11-07,06:15,2016-11-07,07:07
1816,City,14,Trip Completed,2016-12-07 09:24:00,2016-12-07 10:07:00,43,2016-12-07,09:24,2016-12-07,10:07
2505,Airport,14,Trip Completed,2016-12-07 21:03:00,2016-12-07 22:14:00,71,2016-12-07,21:03,2016-12-07,22:14
3346,City,14,Trip Completed,2016-07-13 13:01:42,2016-07-13 13:55:59,54,2016-07-13,13:01,2016-07-13,13:55
5294,City,14,Trip Completed,2016-07-14 21:45:50,2016-07-14 22:16:40,30,2016-07-14,21:45,2016-07-14,22:16
6226,Airport,14,Trip Completed,2016-07-15 17:34:25,2016-07-15 18:33:13,58,2016-07-15,17:34,2016-07-15,18:33
6733,Airport,14,Trip Completed,2016-07-15 23:32:44,2016-07-16 00:37:46,65,2016-07-15,23:32,2016-07-16,00:37
1027,Airport,15,Trip Completed,2016-11-07 19:18:00,2016-11-07 20:24:00,66,2016-11-07,19:18,2016-11-07,20:24
2675,Airport,15,Trip Completed,2016-07-12 23:43:00,2016-07-13 00:35:12,52,2016-07-12,23:43,2016-07-13,00:35
3200,City,15,Trip Completed,2016-07-13 09:39:44,2016-07-13 10:30:58,51,2016-07-13,09:39,2016-07-13,10:30
3865,City,15,Trip Completed,2016-07-13 21:52:05,2016-07-13 22:21:15,29,2016-07-13,21:52,2016-07-13,22:21
4468,City,15,Trip Completed,2016-07-14 08:42:46,2016-07-14 09:22:01,39,2016-07-14,08:42,2016-07-14,09:22
5163,Airport,15,Trip Completed,2016-07-14 20:34:30,2016-07-14 21:05:18,30,2016-07-14,20:34,2016-07-14,21:05
6009,City,15,Trip Completed,2016-07-15 12:22:35,2016-07-15 13:25:27,62,2016-07-15,12:22,2016-07-15,13:25
6448,Airport,15,Trip Completed,2016-07-15 20:02:54,2016-07-15 20:40:45,37,2016-07-15,20:02,2016-07-15,20:40
591,City,16,Trip Completed,2016-11-07 11:25:00,2016-11-07 12:31:00,66,2016-11-07,11:25,2016-11-07,12:31
709,City,16,Trip Completed,2016-11-07 14:16:00,2016-11-07 15:03:00,47,2016-11-07,14:16,2016-11-07,15:03
1167,Airport,16,Trip Completed,2016-11-07 20:50:00,2016-11-07 21:52:00,62,2016-11-07,20:50,2016-11-07,21:52
2661,Airport,16,Trip Completed,2016-07-12 23:23:00,2016-07-13 00:27:21,64,2016-07-12,23:23,2016-07-13,00:27
2808,City,16,Trip Completed,2016-07-13 05:05:16,2016-07-13 05:56:11,50,2016-07-13,05:05,2016-07-13,05:56
3258,Airport,16,Trip Completed,2016-07-13 10:12:51,2016-07-13 10:45:28,32,2016-07-13,10:12,2016-07-13,10:45
3413,Airport,16,Trip Completed,2016-07-13 15:32:01,2016-07-13 16:45:44,73,2016-07-13,15:32,2016-07-13,16:45
3939,Airport,16,Trip Completed,2016-07-13 22:26:26,2016-07-13 22:55:54,29,2016-07-13,22:26,2016-07-13,22:55
4125,City,16,Trip Completed,2016-07-14 04:37:11,2016-07-14 05:46:29,69,2016-07-14,04:37,2016-07-14,05:46
4457,City,16,Trip Completed,2016-07-14 08:36:24,2016-07-14 09:19:20,42,2016-07-14,08:36,2016-07-14,09:19
4728,City,16,Trip Completed,2016-07-14 14:04:13,2016-07-14 15:06:40,62,2016-07-14,14:04,2016-07-14,15:06
5347,Airport,16,Trip Completed,2016-07-14 22:51:47,2016-07-14 23:53:42,61,2016-07-14,22:51,2016-07-14,23:53
6147,City,16,Trip Completed,2016-07-15 16:11:02,2016-07-15 17:30:08,79,2016-07-15,16:11,2016-07-15,17:30
6496,Airport,16,Trip Completed,2016-07-15 20:33:00,2016-07-15 21:32:49,59,2016-07-15,20:33,2016-07-15,21:32
634,City,17,Trip Completed,2016-11-07 12:25:00,2016-11-07 13:06:00,41,2016-11-07,12:25,2016-11-07,13:06
939,Airport,17,Trip Completed,2016-11-07 18:25:00,2016-11-07 19:26:00,61,2016-11-07,18:25,2016-11-07,19:26
2628,Airport,17,Trip Completed,2016-12-07 22:10:00,2016-12-07 23:25:00,75,2016-12-07,22:10,2016-12-07,23:25
3021,City,17,Trip Completed,2016-07-13 07:33:20,2016-07-13 08:26:07,52,2016-07-13,07:33,2016-07-13,08:26
4743,City,17,Trip Completed,2016-07-14 14:54:16,2016-07-14 15:39:03,44,2016-07-14,14:54,2016-07-14,15:39
4981,City,17,Trip Completed,2016-07-14 18:47:42,2016-07-14 19:43:44,56,2016-07-14,18:47,2016-07-14,19:43
5367,Airport,17,Trip Completed,2016-07-14 23:35:34,2016-07-15 00:25:26,49,2016-07-14,23:35,2016-07-15,00:25
5471,Airport,17,Trip Completed,2016-07-15 04:48:57,2016-07-15 05:47:13,58,2016-07-15,04:48,2016-07-15,05:47
5988,Airport,17,Trip Completed,2016-07-15 11:48:32,2016-07-15 12:55:02,66,2016-07-15,11:48,2016-07-15,12:55
6477,Airport,17,Trip Completed,2016-07-15 20:21:26,2016-07-15 21:00:31,39,2016-07-15,20:21,2016-07-15,21:00
499,City,18,Trip Completed,2016-11-07 09:39:00,2016-11-07 10:16:00,37,2016-11-07,09:39,2016-11-07,10:16
1147,Airport,18,Trip Completed,2016-11-07 20:42:00,2016-11-07 21:18:00,36,2016-11-07,20:42,2016-11-07,21:18
1410,Airport,18,Trip Completed,2016-12-07 03:14:00,2016-12-07 04:27:00,73,2016-12-07,03:14,2016-12-07,04:27
1804,Airport,18,Trip Completed,2016-12-07 09:12:00,2016-12-07 09:57:00,45,2016-12-07,09:12,2016-12-07,09:57
1949,Airport,18,Trip Completed,2016-12-07 11:32:00,2016-12-07 12:13:00,41,2016-12-07,11:32,2016-12-07,12:13
2713,City,18,Trip Completed,2016-07-13 01:46:42,2016-07-13 02:37:08,50,2016-07-13,01:46,2016-07-13,02:37
2845,City,18,Trip Completed,2016-07-13 05:28:29,2016-07-13 06:10:40,42,2016-07-13,05:28,2016-07-13,06:10
3943,Airport,18,Trip Completed,2016-07-13 22:35:38,2016-07-13 23:33:20,57,2016-07-13,22:35,2016-07-13,23:33
4792,City,18,Trip Completed,2016-07-14 16:47:15,2016-07-14 17:34:39,47,2016-07-14,16:47,2016-07-14,17:34
5207,Airport,18,Trip Completed,2016-07-14 20:57:41,2016-07-14 21:56:21,58,2016-07-14,20:57,2016-07-14,21:56
5890,City,18,Trip Completed,2016-07-15 09:43:57,2016-07-15 10:55:22,71,2016-07-15,09:43,2016-07-15,10:55
494,City,19,Trip Completed,2016-11-07 09:36:00,2016-11-07 10:02:00,26,2016-11-07,09:36,2016-11-07,10:02
1485,City,19,Trip Completed,2016-12-07 05:21:00,2016-12-07 06:35:00,74,2016-12-07,05:21,2016-12-07,06:35
2042,City,19,Trip Completed,2016-12-07 14:30:00,2016-12-07 15:09:00,39,2016-12-07,14:30,2016-12-07,15:09
2561,Airport,19,Trip Completed,2016-12-07 21:29:00,2016-12-07 22:44:00,75,2016-12-07,21:29,2016-12-07,22:44
3813,Airport,19,Trip Completed,2016-07-13 21:06:57,2016-07-13 21:46:24,39,2016-07-13,21:06,2016-07-13,21:46
4260,Airport,19,Trip Completed,2016-07-14 06:11:51,2016-07-14 06:59:46,47,2016-07-14,06:11,2016-07-14,06:59
4395,City,19,Trip Completed,2016-07-14 08:00:15,2016-07-14 08:54:39,54,2016-07-14,08:00,2016-07-14,08:54
5919,City,19,Trip Completed,2016-07-15 10:03:42,2016-07-15 10:59:27,55,2016-07-15,10:03,2016-07-15,10:59
6002,Airport,19,Trip Completed,2016-07-15 12:04:15,2016-07-15 12:53:36,49,2016-07-15,12:04,2016-07-15,12:53
468,City,20,Trip Completed,2016-11-07 09:20:00,2016-11-07 10:05:00,45,2016-11-07,09:20,2016-11-07,10:05
693,Airport,20,Trip Completed,2016-11-07 13:51:00,2016-11-07 15:01:00,70,2016-11-07,13:51,2016-11-07,15:01
1178,City,20,Trip Completed,2016-11-07 21:05:00,2016-11-07 22:06:00,61,2016-11-07,21:05,2016-11-07,22:06
2103,City,20,Trip Completed,2016-12-07 16:08:00,2016-12-07 17:18:00,70,2016-12-07,16:08,2016-12-07,17:18
2292,Airport,20,Trip Completed,2016-12-07 18:46:00,2016-12-07 19:23:00,37,2016-12-07,18:46,2016-12-07,19:23
3339,City,20,Trip Completed,2016-07-13 12:40:58,2016-07-13 13:30:26,49,2016-07-13,12:40,2016-07-13,13:30
3694,City,20,Trip Completed,2016-07-13 19:33:19,2016-07-13 20:35:08,61,2016-07-13,19:33,2016-07-13,20:35
4469,City,20,Trip Completed,2016-07-14 08:45:13,2016-07-14 09:48:08,62,2016-07-14,08:45,2016-07-14,09:48
6432,City,20,Trip Completed,2016-07-15 19:50:57,2016-07-15 20:30:05,39,2016-07-15,19:50,2016-07-15,20:30
1895,City,21,Trip Completed,2016-12-07 10:20:00,2016-12-07 10:52:00,32,2016-12-07,10:20,2016-12-07,10:52
1981,Airport,21,Trip Completed,2016-12-07 12:23:00,2016-12-07 12:56:00,33,2016-12-07,12:23,2016-12-07,12:56
3744,Airport,21,Trip Completed,2016-07-13 20:28:11,2016-07-13 21:22:42,54,2016-07-13,20:28,2016-07-13,21:22
4433,Airport,21,Trip Completed,2016-07-14 08:26:32,2016-07-14 09:12:02,45,2016-07-14,08:26,2016-07-14,09:12
6039,Airport,21,Trip Completed,2016-07-15 13:11:04,2016-07-15 13:38:01,26,2016-07-15,13:11,2016-07-15,13:38
6543,City,21,Trip Completed,2016-07-15 20:54:20,2016-07-15 22:12:36,78,2016-07-15,20:54,2016-07-15,22:12
110,City,22,Trip Completed,2016-11-07 05:05:00,2016-11-07 06:06:00,61,2016-11-07,05:05,2016-11-07,06:06
362,City,22,Trip Completed,2016-11-07 08:01:00,2016-11-07 09:18:00,77,2016-11-07,08:01,2016-11-07,09:18
666,Airport,22,Trip Completed,2016-11-07 13:02:00,2016-11-07 13:45:00,43,2016-11-07,13:02,2016-11-07,13:45
926,City,22,Trip Completed,2016-11-07 18:28:00,2016-11-07 19:34:00,66,2016-11-07,18:28,2016-11-07,19:34
1180,Airport,22,Trip Completed,2016-11-07 21:01:00,2016-11-07 22:14:00,73,2016-11-07,21:01,2016-11-07,22:14
1900,City,22,Trip Completed,2016-12-07 10:32:00,2016-12-07 11:42:00,70,2016-12-07,10:32,2016-12-07,11:42
2506,City,22,Trip Completed,2016-12-07 21:01:00,2016-12-07 21:38:00,37,2016-12-07,21:01,2016-12-07,21:38
3064,City,22,Trip Completed,2016-07-13 08:02:03,2016-07-13 08:58:46,56,2016-07-13,08:02,2016-07-13,08:58
3327,Airport,22,Trip Completed,2016-07-13 12:24:41,2016-07-13 13:23:39,58,2016-07-13,12:24,2016-07-13,13:23
3601,City,22,Trip Completed,2016-07-13 18:39:00,2016-07-13 19:29:07,50,2016-07-13,18:39,2016-07-13,19:29
4768,Airport,22,Trip Completed,2016-07-14 15:39:24,2016-07-14 16:49:03,69,2016-07-14,15:39,2016-07-14,16:49
5142,City,22,Trip Completed,2016-07-14 20:17:51,2016-07-14 20:48:58,31,2016-07-14,20:17,2016-07-14,20:48
5366,Airport,22,Trip Completed,2016-07-14 23:27:22,2016-07-15 00:19:50,52,2016-07-14,23:27,2016-07-15,00:19
5575,City,22,Trip Completed,2016-07-15 05:53:55,2016-07-15 06:50:02,56,2016-07-15,05:53,2016-07-15,06:50
5902,City,22,Trip Completed,2016-07-15 09:52:57,2016-07-15 10:37:05,44,2016-07-15,09:52,2016-07-15,10:37
